"col_0","col_1","col_2","col_3","col_4"
"SRS4058228","water","""Pacific Ocean: Crab Spa low-temperature hydrothermal vent at 9 deg 50N hydrothermal vent field""","{Nitrate amendment,  beginning,  hydrothermal vent,  Low-temperature hydrothermal fluids,  microaerophilic,  Atmospheric Pressure Incubations,  Deep-Sea Hydrothermal Vent Fluid}","deep-see hydrothermal fluids"
"SRS4074725","plant","""China: Lanzhou""","{phyllosphere,  leaf,  spruce}","spruce leaf "
"SRS4078332","plant","""Poland:Warsaw""","{plant,  Carpinus betulus L.,   Slow-traffic intersection,  phyllomicrobiome,  phyllosphere }","C. betulus leaf"
"SRS4120459","plant","""Antarctica: GPS""","{Deschampsia antarctica,  Endosphere,  roots,  Antarctic Vascular PlantsDeschampsia antarctica root}",""
"SRS4152749","soil","""Greenland: Baffin Bay""","{marine sediment,  Surface marine sediments,  Baffin Bay,  Greenland}","surface marine sediment"
"SRS415704","animal","""nan""","{mosquito metagenome,  Anopheles gambiae}","female atrium theca"
"SRS416949","plant","""Bretteville-du-Grand-Caux, Normandy, France""","{Environmental/Metagenome sample,  rhizosphere metagenome,  potato hydroponic culture,  greenhouse,  water}","hydroponic potato-crop water"
"SRS4177695","soil","""Spain: Jaen""","{soil,  bulk soil,  orchard soil,  Picual and Frantoio cultivars,  Mancha Real}","orchard soil"
"SRS4262774","soil","""China:Qinghai""","{soil,  Qaidam Basin,  Qinghai-Tibet plateau,  near surface (0-30 cm),  }","Surface soil samples"
"SRS4301723","soil","""China: Thousand Island lake, Hangzhou""","{soil,  island,  habitat fragmentation}","soil"
"SRS4348711","other","""Saudi Arabia: Thuwal""","{bioreactor,  Incubation vial,  solid-state electrode,  electro-anammox process,  anaerobic ammonium oxidation,  anammox bacteria,  graphene oxide}","graphene oxide electrode"
"SRS435939","animal","""nan""","{human metagenome FF_2139_539}","human clinical samples"
"SRS4365662","soil","""India: GPS""","{soil,  Orathupalayam dam soil,  mealybug,  Paracoccus marginatus,  Papaya mealybug,  Ferrisia virgata,  Two-tailed mealybug,  }","Orathupalayam dam soil"
"SRS4432074","plant","""USA: Washington""","{freshwater,  river water,  riparian soil,  fresh,  submerged leaves,  Red Alder Leaf,  Aquatic Leaf Pack}","Red Alder Leaf"
"SRS4466234","plant","""Tunisia: Medenine""","{Tunisian,  Casuarina glauca, Root Nodule,  Endophyte,  arid region,  root nodule}"," Root Nodule Endophyte"
"SRS4475168","plant","""Russia: Lake Teletskoye""","{Butomus umbellatus,  Scrapings,  Teletskoye Lake,  Altai Republic,  Russia,  environmental compartments,  succession }","Butomus umbellatus scrapings"
"SRS4480941","animal","""China:chongqing""","{Sus scrofa,  Rongchang,  Mucosa ileum,  mucosa-associated,  intestinal}","Rongchang Mucosa ileum, "
"SRS4521457","plant","""China:Tianjin""","{alfalfa,  soil,  plant,  silage,  }","alfalfa silage"
"SRS4552274","animal","""Sweden: Umea""","{bovine gut,  Rumen,  Oral gavage,  Rumen fluid,  Bos taurus,  milking cows,  }","bovine, Rumen fluid"
"SRS4567057","water","""USA: Bernard Point, Alaska""","{marine,  polar,  coastal sea water,  ocean,  Beaufort Lagoon,  }","coastal sea water"
"SRS4603603","soil","""Italy: Venere Mud Volcano, Central Mediterranean Sea""","{mud volcano,  summit flow,  deposit,  push core,  mud breccia,  recently emitted,  subseafloor mud volcano}","mud breccia"
"SRS4624459","water","""China:Xiamen""","{seawater,  aquatic,  Synechococcus-derived organic matter,  decomposition experiment,  Xiamen,  coastal environment}","Xiamen seawater"
"SRS464306","soil","""nan""","{soil metagenome,  Glacier Forefront,  600m,  soil,  glacier forefront chronosequence,  non-vegetated soils,  soils from differing mycorrhizal ecologies}","Glacier Forefront soil"
"SRS4650734","water","""India: Malanjkhand copper project""","{mine tailings,  Malanjkhand copper project,  Acid mine drainage,  }","cooper mine tailings"
"SRS4655090","other","""USA""","{food production,  dry,  Listeria monocytogenes,  fruit processing facilities,  fruit packing facility}",""
"SRS4727705","other","""Manassas, USA""","{Treponema validation set,  synthetic,  T. pallidum,  mock community,  Biodefense and Emerging Infectious Research (BEI) Resources,  }","Treponema mock community"
"SRS4740135","animal","""China:zigui""","{insect gut,  Bactrocera minax,  Gut microbiome,  Insect}","Bactrocera minax gut"
"SRS4743249","water","""USA: Maryland""","{aquatic,  reclaimed water,  facility,  crop irrigation,  water sources,  }","reclaimed water"
"SRS4776621","soil","""Netherlands:Valthermond""","{soil,  Hordeum vulgare,  cropland biome,  compost,  rhizosphere,  fertilizer treatments,  summer barley,  peaty,  sandy}","summer barley rhizosphere"
"SRS4806921","soil","""Canada: Phytotron at Queen's University, Kingston""","{soil,  fertilizer without phosphate,  potted soybean,   greenhouse}","Potted soybean soil"
"SRS4875355","water","""USA: Los Angeles, McKittrick oil field""","{water droplet,  oil field,  oil,  natural oil reservoirs}","oil reservoirs waterdroplets"
"SRS496050","animal","""USA: Maryland, Frederick""","{mouse gut metagenome,  ABX cocktail-treated,  cancer immunotherapy,  mouse gut microbiome}","mouse faeces"
"SRS4975915","other","""China: Hong Kong""","{bioreactor,  biomass,   enriched anammox seed sludge,  onestage PNA lab-scale reactor}","anammox seed sludge"
"SRS503102","soil","""Antarctica: Taylor Valley, McMurdo Dry Valleys""","{soil metagenome,  natural salinity gradient,  moderate salinity experimental plot,  }","soil sample"
"SRS5060490","other","""Brazil:Bahia""","{Forasteiro,  fermentation,  cocoa mass (seed with pulp),  24h,  Theobroma cacao,  Cocoa bean fermentation}","cocoa mass"
"SRS5073539","soil","""USA:Washington""","{potato plants,  herbivores,  20cm,  conventionally fertilized soils,  herbivory }","soil conventional potatoes"
"SRS5085284","animal","""China:Shenzhen""","{swab,  Homo sapiens,  newborn,   birth canal,  human-associated}",""
"SRS5118890","animal","""Canada: Winnipeg""","{oral,  Homo sapien,  Supragingival plaque,  Caries-free,  male,  pre-school children}","Supragingival plaque"
"SRS5152762","soil","""China:Beijing""","{soil,  hydrosphere,  host-associated,  active hydrosphere}","active hydrosphere"
"SRS5171561","other","""China: GPS""","{activated sludge,  wastewater treatment plant,  wastewater,  municipalactivated sludge, }",""
"SRS5172949","animal","""USA: West Virginia""","{insect gut,  gut,  Drosophila melanogaster,  Oregon-RC,  pepper-containing diets,  Habanero}","Drosophila melanogaster"
"SRS5178370","soil","""Spain:Cullera""","{Marine biome,  marine,  Shoreline,  Scraped surface,  Rocky coast,  soil,  Mediterranean coast}","coastal soil"
"SRS5180282","animal","""United Kingdom""","{Lawsonia intracellularis Equine,  faecal,  non-zoonotic enteric disease,  proliferative enteropathy (PE),  equine PE}","PE-infected equine faeces"
"SRS5232560","other","""China:Guangdong Province, Shenzhen City""","{mixed culture,  laboratory culture,  Motile bacteria,  soft agar plate,  }","soft agar plate"
"SRS5281771","plant","""China:Changsha""","{rhizoplane,  Boehmeria nivea,  Ramie}","Boehmeria nivea roots"
"SRS5285181","soil","""GPS""","{biocrusts,  soil crusts,  }","biocrust"
"SRS5309305","other","""France: Antony""","{anaerobic digester,  fish waste,  anaerobic digester F100-3,  sludge}","anaerobic digester sludge"
"SRS5318521","water","""USA:Blue River Watershed""","{river surface water,  freshwater,  urban watershed}","river surface water"
"SRS5318545","water","""USA:Blue River Watershed""","{river surface water,  freshwater,  urban watershed}","river surface water"
"SRS5417342","soil","""China:Hubei""","{soil,  Lianghu plain,  paddy soil,  rice-growing regions}","rice paddy soil, "
"SRS5435109","animal","""USA: Colorado Springs""","{gut,  Sciurus aberti,  small intestine,  Abert's squirrel,  gastrointestinal tract}","squirrel small instestine"
"SRS5450720","other","""nan""","{synthetic,  mock community,  Bei Resources,  Lactobacillus gasseri,  Microbial Mock community}","microbial culture"
"SRS5464219","other","""USA: California ""","{milk,  CA,  HTST,  Retail milk,  dairy,  }","Retail milk"
"SRS5573337","plant","""United Kingdom: GPS""","{endosphere,  anthropogenic terrestrial biome,  field,  root matter,  Triticum aestivum,  wheat root}","Triticum aestivum root"
"SRS5609392","water","""Pacific Ocean: GPS""","{marine,  water column,  Pacific Ocean,  9 m,  filtered onto,  0.2 µm filters}","marine water"
"SRS5627464","other","""China: Shanxi""","{food fermentation,  fermentation starter,  }","fermentation starter"
"SRS5709191","soil","""China: Yuanqu, Shanxi""","{soil,  sowing,  10-Jun-2015,  winter wheat-summer maize crop rotation,  Loess Plateau,  }","maize field soil"
"SRS5823593","soil","""Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria""","{peat soil,  peat,  wetland,  peatland,  fen}","peat soil"
"SRS6007120","plant","""nan""","{leaf litter,  pine litter,  Biomass,  decomposition }","decoposing pine litter"
"SRS6012622","soil","""USA: central IA""","{soil,  Rizosphere,  corn,  Miscanthus giganteu,  }","Miscanthus giganteu rhizosphere"
"SRS6049544","soil","""China:Gansu province,Linxia city""","{compost bedding,  compost,  padded stages}","compost bedding"
"SRS6134340","plant","""Poland: Torun""","{lyophilized sugar beet roots,  anthropogenic terrestial biome,  plant,  cultivated environment,  ,  Beta vulgarisssp. vulgaris cv 'Huzar',  primary root}","lyophilized sugar beet roots"
"SRS6219645","soil","""Russia:Seida""","{acetate light arc,  peat,  peat circle,  acidic peatlands}","acidic peat soil"
"SRS6247487","soil","""China:""","{Thelephora ganbajun,  basidiomycetes,  ectomycorrhizal fungi,  southwestern China}","Thelephora ganbajun sample"
"SRS6269210","other","""Germany: Berlin""","{surface,  textile,  airborne microorganisms,  fleece material,  Novel antimicrobial surfaces,  }"," fleece material"
"SRS656270","plant","""USA: Tallgrass Prairie Preserve, Oklahoma""","{leaf metagenome,  Endophytic bacteria of non-cultivated plants,  Ambrosia psilostachya}","Ambrosia psilostachya leaves"
"SRS687909","plant","""Stockholm, Sweden""","{root metagenome,  Datisca glomerata root nodule,  non-Frankia bacteria, }","glomerate root nodules"
"SRS688448","soil","""Oman""","{microbial mat metagenome,  oil polluted cyanobacterial mat from a constructed wetland,  wetland microbial mats}","cyanobacterial mat "
"SRS721147","water","""USA: Lamont-Doherty Earth Observatory test well""","{groundwater metagenome,  simulated CO2 leakage,  shallow aquifer,  }","aquifer groundwater"
"SRS738674","water","""GPS+ Pacific Ocean""","{hydrothermal vent metagenome,  basaltic crustal fluids,  borehole,  low-temperature subsurface fluids}","basaltic crust aquifer"
"SRS752755","soil","""GPS+ India: Tapovan-Visnugad area""","{Geothermal Mat Community Metagenome,  geothermal 85 microbial mat community (GMMC)}",""
"SRS797537","plant","""GPS+ USA: OH""","{plant metagenome,  cropland biome,  cilantro,  plant-associated}","cilantro plant material"
"SRS858660","other","""USA""","{fuel tank metagenome,  fuel grade ethanol,  containment tanks,  fuel tank containing fuel grade ethanol and water}","contents FGE  tank"
"SRS940769","soil","""Brazil: Icapui, Ceara""","{mangrove soil metagenome,  red mangrove,  R. mangle,  sediments}","sediments mangrove roots"
"SRS942824","soil","""China: Nanchong, Sichuan""","{soil metagenome,  soybean root,  rhizosphere bacterial communities}","soybean rhizosphere soil"
"SRS949951","soil","""GPS+, Australia""","{marine sediment metagenome,  surface sediment,  coastal sediments,  marine sediment}","surface marine sediment"
"SRS976482","animal","""USA: New Hampshire, Lebanon""","{human lung metagenome, Human cystic fibrosis lung sample,  Homo sapiens,  regions of the lung}","cystic fibrosis lung"
"SRS994677","other","""Sweden: Department of Microbiology, Swedish University of Agricultural Science, Uppsala""","{anaerobic digester metagenome,  Waste water treatment plant,  industrial-scale biogas plants,  anaerobic reactor,  sludge,  wastewater}","anaerobic sludge"
